trv_loc_nm,yw,bubble_cnt
전라남도,201918,18
경상북도,201918,21
경상남도,201918,19
제주특별자치도,201918,6
서울특별시,201919,15
부산광역시,201919,9
대구광역시,201919,7
인천광역시,201919,13
광주광역시,201919,4
대전광역시,201919,5
울산광역시,201919,2
세종특별자치시,201919,1
경기도,201919,26
강원도,201919,21
충청북도,201919,11
충청남도,201919,16
전라북도,201919,12
전라남도,201919,14
경상북도,201919,17
경상남도,201919,17
제주특별자치도,201919,5
서울특별시,201920,14
부산광역시,201920,7
대구광역시,201920,5
인천광역시,201920,12
광주광역시,201920,4
대전광역시,201920,5
울산광역시,201920,2
세종특별자치시,201920,1
경기도,201920,22
강원도,201920,17
충청북도,201920,9
충청남도,201920,13
전라북도,201920,8
전라남도,201920,10
경상북도,201920,13
경상남도,201920,11
제주특별자치도,201920,5
서울특별시,201921,14
부산광역시,201921,8
대구광역시,201921,5
인천광역시,201921,12
광주광역시,201921,4
대전광역시,201921,4
울산광역시,201921,2
세종특별자치시,201921,1
경기도,201921,22
강원도,201921,17
충청북도,201921,10
충청남도,201921,12
전라북도,201921,9
전라남도,201921,11
경상북도,201921,13
경상남도,201921,12
제주특별자치도,201921,5
서울특별시,201922,13
부산광역시,201922,7
대구광역시,201922,5
인천광역시,201922,12
광주광역시,201922,3
대전광역시,201922,4
울산광역시,201922,2
세종특별자치시,201922,1
경기도,201922,21
강원도,201922,16
충청북도,201922,9
충청남도,201922,12
전라북도,201922,8
전라남도,201922,9
경상북도,201922,13
경상남도,201922,11
제주특별자치도,201922,5
서울특별시,201923,14
부산광역시,201923,9
대구광역시,201923,5
인천광역시,201923,13
광주광역시,201923,4
대전광역시,201923,5
울산광역시,201923,2
세종특별자치시,201923,1
경기도,201923,23
강원도,201923,21
충청북도,201923,10
충청남도,201923,14
전라북도,201923,9
전라남도,201923,12
경상북도,201923,15
경상남도,201923,14
제주특별자치도,201923,5
서울특별시,201924,13
부산광역시,201924,8
대구광역시,201924,5
인천광역시,201924,12
광주광역시,201924,3
대전광역시,201924,4
울산광역시,201924,2
세종특별자치시,201924,1
경기도,201924,21
강원도,201924,17
충청북도,201924,9
충청남도,201924,12
전라북도,201924,7
전라남도,201924,10
경상북도,201924,13
경상남도,201924,11
제주특별자치도,201924,5
서울특별시,201925,14
부산광역시,201925,8
대구광역시,201925,5
인천광역시,201925,12
광주광역시,201925,3
대전광역시,201925,4
울산광역시,201925,2
세종특별자치시,201925,1
경기도,201925,22
강원도,201925,18
충청북도,201925,9
충청남도,201925,12
전라북도,201925,8
전라남도,201925,10
경상북도,201925,13
경상남도,201925,12
제주특별자치도,201925,5
서울특별시,201926,14
부산광역시,201926,8
대구광역시,201926,5
인천광역시,201926,13
광주광역시,201926,3
대전광역시,201926,4
울산광역시,201926,2
세종특별자치시,201926,1
경기도,201926,22
강원도,201926,18
충청북도,201926,8
충청남도,201926,11
전라북도,201926,7
전라남도,201926,8
경상북도,201926,12
경상남도,201926,10
제주특별자치도,201926,5
서울특별시,201927,14
부산광역시,201927,8
대구광역시,201927,5
인천광역시,201927,12
광주광역시,201927,3
대전광역시,201927,4
울산광역시,201927,2
세종특별자치시,201927,1
경기도,201927,21
강원도,201927,19
충청북도,201927,9
충청남도,201927,12
전라북도,201927,7
전라남도,201927,9
경상북도,201927,13
경상남도,201927,12
제주특별자치도,201927,5
서울특별시,201928,13
부산광역시,201928,8
대구광역시,201928,5
인천광역시,201928,12
광주광역시,201928,4
대전광역시,201928,4
울산광역시,201928,2
세종특별자치시,201928,1
경기도,201928,21
강원도,201928,20
충청북도,201928,9
충청남도,201928,12
전라북도,201928,8
전라남도,201928,9
경상북도,201928,13
경상남도,201928,12
제주특별자치도,201928,5
서울특별시,201929,13
부산광역시,201929,7
대구광역시,201929,5
인천광역시,201929,12
광주광역시,201929,3
대전광역시,201929,4
울산광역시,201929,2
세종특별자치시,201929,1
경기도,201929,21
강원도,201929,20
충청북도,201929,8
충청남도,201929,11
전라북도,201929,7
전라남도,201929,8
경상북도,201929,12
경상남도,201929,10
제주특별자치도,201929,5
서울특별시,201930,14
부산광역시,201930,9
대구광역시,201930,6
인천광역시,201930,13
광주광역시,201930,4
대전광역시,201930,4
울산광역시,201930,2
세종특별자치시,201930,1
경기도,201930,21
강원도,201930,23
충청북도,201930,9
충청남도,201930,12
전라북도,201930,9
전라남도,201930,12
경상북도,201930,16
경상남도,201930,15
제주특별자치도,201930,5
서울특별시,201931,16
부산광역시,201931,13
대구광역시,201931,6
인천광역시,201931,16
광주광역시,201931,5
대전광역시,201931,5
울산광역시,201931,3
세종특별자치시,201931,1
경기도,201931,29
강원도,201931,41
충청북도,201931,13
충청남도,201931,19
전라북도,201931,14
전라남도,201931,21
경상북도,201931,25
경상남도,201931,22
제주특별자치도,201931,7
서울특별시,201932,14
부산광역시,201932,10
대구광역시,201932,5
인천광역시,201932,14
광주광역시,201932,4
대전광역시,201932,4
울산광역시,201932,3
세종특별자치시,201932,1
경기도,201932,26
강원도,201932,34
충청북도,201932,11
충청남도,201932,15
전라북도,201932,11
전라남도,201932,15
경상북도,201932,19
경상남도,201932,17
제주특별자치도,201932,6
서울특별시,201933,15
부산광역시,201933,10
대구광역시,201933,6
인천광역시,201933,14
광주광역시,201933,4
대전광역시,201933,4
울산광역시,201933,3
세종특별자치시,201933,1
경기도,201933,27
강원도,201933,31
충청북도,201933,11
충청남도,201933,15
전라북도,201933,11
전라남도,201933,14
경상북도,201933,19
