trv_loc_nm,yw,bubble_cnt
HOME,202053,919
HOME,202101,943
HOME,202102,926
HOME,202103,920
HOME,202104,918
HOME,202105,916
HOME,202106,843
HOME,202107,895
HOME,202108,857
HOME,202109,890
HOME,202110,893
HOME,202111,895
HOME,202112,890
HOME,202113,895
HOME,202114,873
HOME,202115,882
HOME,202116,874
HOME,202117,870
HOME,202118,841
HOME,202119,885
HOME,202120,930
HOME,202121,875
HOME,202122,872
HOME,202123,875
HOME,202124,865
HOME,202125,860
HOME,202126,872
HOME,202127,882
HOME,202128,880
HOME,202129,874
HOME,202130,840
HOME,202131,825
